position,sign,n,p
C,Leo,8,0.16666666666666666
F,Aries,17,0.11805555555555555
F/C,Aries,11,0.16666666666666666
G,Virgo,26,0.12380952380952381
G/F,Gemini,9,0.11842105263157894
G/F,Leo,9,0.11842105263157894
G/F,Libra,9,0.11842105263157894
G/F,Scorpio,9,0.11842105263157894
